date,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,tpm,cpm
6/1/2020,190535,8392,5394,230,100180,3837207,0.10018,0.008392
6/2/2020,198706,8171,5598,204,128868,3966075,0.128868,0.008171
6/3/2020,207615,8909,5815,217,137158,4103233,0.137158,0.008909
6/4/2020,216919,9304,6075,260,139485,4242718,0.139485,0.009304
6/5/2020,226770,9851,6348,273,143661,4386379,0.143661,0.009851
6/6/2020,236657,9887,6642,294,137938,4524317,0.137938,0.009887
6/7/2020,246628,9971,6929,287,142069,4666386,0.142069,0.009971
6/8/2020,256611,9983,7135,206,108048,4774434,0.108048,0.009983
6/9/2020,266598,9987,7466,331,141682,4916116,0.141682,0.009987
6/10/2020,276583,9985,7745,279,145216,5061332,0.145216,0.009985
6/11/2020,286579,9996,8102,357,151808,5213140,0.151808,0.009996
6/12/2020,297535,10956,8498,396,150305,5363445,0.150305,0.010956
6/13/2020,308993,11458,8884,386,143737,5507182,0.143737,0.011458
6/14/2020,320922,11929,9195,311,151432,5658614,0.151432,0.011929
6/15/2020,332424,11502,9520,325,115519,5774133,0.115519,0.011502
6/16/2020,343091,10667,9900,380,146936,5921069,0.146936,0.010667
6/17/2020,354065,10974,11903,2003,163187,6084256,0.163187,0.010974
6/18/2020,366946,12881,12237,334,165412,6249668,0.165412,0.012881
6/19/2020,380532,13586,12573,336,176959,6426627,0.176959,0.013586
6/20/2020,395048,14516,12948,375,189869,6616496,0.189869,0.014516
6/21/2020,410461,15413,13254,306,190730,6807226,0.19073,0.015413
6/22/2020,425282,14821,13699,445,143267,6950493,0.143267,0.014821
6/23/2020,440215,14933,14011,312,187223,7137716,0.187223,0.014933
6/24/2020,456183,15968,14476,465,215195,7352911,0.215195,0.015968
6/25/2020,473105,16922,14894,418,207871,7560782,0.207871,0.016922
6/26/2020,490401,17296,15301,407,215446,7776228,0.215446,0.017296
6/27/2020,508953,18552,15685,384,220479,7996707,0.220479,0.018552
6/28/2020,528859,19906,16095,410,231095,8227802,0.231095,0.019906
6/29/2020,548318,19459,16475,380,170560,8398362,0.17056,0.019459
6/30/2020,566840,18522,16893,418,210292,8608654,0.210292,0.018522
7/1/2020,585493,18653,17400,507,217931,8826585,0.217931,0.018653
7/2/2020,604641,19148,17834,434,229588,9056173,0.229588,0.019148
7/3/2020,625544,20903,18213,379,241576,9297749,0.241576,0.020903
7/4/2020,648315,22771,18655,442,242383,9540132,0.242383,0.022771
7/5/2020,673165,24850,19268,613,248934,9789066,0.248934,0.02485
7/6/2020,697413,24248,19693,425,180596,9969662,0.180596,0.024248
7/7/2020,719665,22252,20160,467,241430,10211092,0.24143,0.022252
7/8/2020,742417,22752,20642,482,262679,10473771,0.262679,0.022752
7/9/2020,767296,24879,21129,487,267061,10740832,0.267061,0.024879
7/10/2020,793802,26506,21604,475,283659,11024491,0.283659,0.026506
7/11/2020,820916,27114,22123,519,282511,11307002,0.282511,0.027114
7/12/2020,849553,28637,22674,551,280151,11587153,0.280151,0.028637
7/13/2020,878254,28701,23174,500,219103,11806256,0.219103,0.028701
7/14/2020,906752,28498,23727,553,286247,12092503,0.286247,0.028498
7/15/2020,936181,29429,24309,582,320161,12412664,0.320161,0.029429
7/16/2020,968876,32695,24915,606,326826,12739490,0.326826,0.032695
7/17/2020,1003832,34956,25602,687,333228,13072718,0.333228,0.034956
7/18/2020,1038716,34884,26273,671,361024,13433742,0.361024,0.034884
7/19/2020,1077618,38902,26816,543,358127,13791869,0.358127,0.038902
7/20/2020,1118043,40425,27497,681,256039,14047908,0.256039,0.040425
7/21/2020,1155191,37148,28084,587,333395,14381303,0.333395,0.037148
7/22/2020,1192915,37724,28732,648,343243,14724546,0.343243,0.037724
7/23/2020,1238635,45720,29861,1129,350823,15075369,0.350823,0.04572
7/24/2020,1287945,49310,30601,740,352801,15428170,0.352801,0.04931
