Date,Stringency_Index
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,5.56
1/26/20,10.19
1/27/20,10.19
1/28/20,10.19
1/29/20,10.19
1/30/20,10.19
1/31/20,10.19
2/1/20,10.19
2/2/20,10.19
2/3/20,10.19
2/4/20,10.19
2/5/20,10.19
2/6/20,10.19
2/7/20,10.19
2/8/20,10.19
2/9/20,10.19
2/10/20,10.19
2/11/20,10.19
2/12/20,10.19
2/13/20,10.19
2/14/20,10.19
2/15/20,10.19
2/16/20,10.19
2/17/20,10.19
2/18/20,10.19
2/19/20,10.19
2/20/20,10.19
2/21/20,10.19
2/22/20,10.19
2/23/20,10.19
2/24/20,10.19
2/25/20,10.19
2/26/20,10.19
2/27/20,10.19
2/28/20,10.19
2/29/20,10.19
3/1/20,10.19
3/2/20,10.19
3/3/20,10.19
3/4/20,15.74
3/5/20,26.85
3/6/20,26.85
3/7/20,26.85
3/8/20,26.85
3/9/20,26.85
3/10/20,26.85
3/11/20,26.85
3/12/20,26.85
3/13/20,33.33
3/14/20,36.11
3/15/20,38.89
3/16/20,48.15
3/17/20,48.15
3/18/20,50
3/19/20,59.72
3/20/20,70.83
3/21/20,76.39
3/22/20,100
3/23/20,86.57
3/24/20,86.57
3/25/20,100
3/26/20,100
3/27/20,100
3/28/20,100
3/29/20,100
3/30/20,100
3/31/20,100
4/1/20,100
4/2/20,100
4/3/20,100
4/4/20,100
4/5/20,100
4/6/20,100
4/7/20,100
4/8/20,100
4/9/20,100
4/10/20,100
4/11/20,100
4/12/20,100
4/13/20,100
4/14/20,100
4/15/20,100
4/16/20,100
4/17/20,100
4/18/20,100
4/19/20,100
4/20/20,96.3
4/21/20,96.3
4/22/20,96.3
4/23/20,96.3
4/24/20,96.3
4/25/20,96.3
4/26/20,96.3
4/27/20,96.3
4/28/20,96.3
4/29/20,96.3
4/30/20,96.3
5/1/20,96.3
5/2/20,96.3
5/3/20,96.3
5/4/20,81.94
5/5/20,81.94
5/6/20,81.94
5/7/20,81.94
5/8/20,81.94
5/9/20,81.94
5/10/20,81.94
5/11/20,81.94
5/12/20,81.94
5/13/20,81.94
5/14/20,81.94
5/15/20,81.94
5/16/20,81.94
5/17/20,81.94
5/18/20,79.17
5/19/20,79.17
5/20/20,79.17
5/21/20,79.17
5/22/20,79.17
5/23/20,79.17
5/24/20,79.17
5/25/20,79.17
5/26/20,79.17
5/27/20,79.17
5/28/20,79.17
5/29/20,79.17
5/30/20,79.17
5/31/20,79.17
6/1/20,75.46
6/2/20,75.46
6/3/20,75.46
6/4/20,75.46
6/5/20,75.46
6/6/20,75.46
6/7/20,75.46
6/8/20,75.46
6/9/20,76.85
6/10/20,76.85
6/11/20,76.85
6/12/20,76.85
6/13/20,76.85
6/14/20,76.85
6/15/20,76.85
6/16/20,76.85
6/17/20,76.85
6/18/20,76.39
6/19/20,76.39
6/20/20,76.39
6/21/20,76.39
6/22/20,76.39
6/23/20,76.39
6/24/20,76.39
6/25/20,76.39
6/26/20,76.39
6/27/20,76.39
6/28/20,76.39
6/29/20,76.39
6/30/20,76.39
7/1/20,74.07
7/2/20,74.07
7/3/20,74.07
7/4/20,74.07
7/5/20,74.07
7/6/20,74.07
7/7/20,74.07
7/8/20,74.07
7/9/20,74.07
7/10/20,77.78
7/11/20,77.78
7/12/20,77.78
7/13/20,77.78
7/14/20,77.78
7/15/20,77.78
7/16/20,77.78
7/17/20,77.78
7/18/20,77.78
7/19/20,77.78
7/20/20,77.78
7/21/20,77.78
7/22/20,77.78
7/23/20,77.78
7/24/20,77.78
